Designator,Mid X,Mid Y,Rotation,Layer
C1,142.4,-71.82,90.0,top
C10,140.0,-71.525,90.0,top
C11,138.75,-68.445,90.0,top
C12,139.75,-67.805,90.0,top
C13,133.55,-56.2,180.0,top
C14,134.45,-62.175,180.0,top
C15,138.0,-85.5,270.0,top
C16,131.9,-86.525,90.0,top
C17,134.6,-67.25,0.0,top
C2,133.325,-72.675,180.0,top
C3,131.8,-78.025,180.0,top
C4,137.925,-83.3,270.0,top
C5,143.15,-78.325,0.0,top
C6,141.15,-71.7,90.0,top
C7,142.02,-73.5,0.0,top
C8,139.0,-83.325,270.0,top
C9,136.475,-67.2,90.0,top
J1,128.36,-73.05,0.0,top
J2,137.25,-50.05,180.0,top
J3,146.14,-73.05,0.0,top
J4,137.25,-96.94,90.0,top
R1,139.0,-56.635,270.0,top
R2,136.325,-57.05,270.0,top
R3,138.95,-71.51,270.0,top
R4,137.95,-71.51,270.0,top
R5,136.0,-83.0,0.0,top
R6,132.535,-67.175,180.0,top
R7,133.835,-64.325,180.0,top
SW1,140.375,-62.7,180.0,top
U1,137.25,-77.05,90.0,top
U3,133.5,-69.0,0.0,top
U4,134.6,-59.0,270.0,top
Y1,135.2,-85.525,0.0,top
